objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
72,E07000032,"""Amber Valley""",2020,"""East Midlands""",100841,746,0.74,27220,26.99,13986,13.87,15627,15.5,4683,4.64,12086,11.99,23346,23.15,3893,3.86,540.7
75,E07000035,"""Derbyshire Dales""",2020,"""East Midlands""",59299,400,0.67,12773,21.54,7088,11.95,8870,14.96,1992,3.36,6572,11.08,19816,33.42,2188,3.69,569.1
166,E07000137,"""East Lindsey""",2020,"""East Midlands""",115418,733,0.64,37648,32.62,16355,14.17,18058,15.65,4922,4.26,12071,10.46,20849,18.06,5515,4.78,431
181,E07000152,"""East Northamptonshire""",2020,"""East Midlands""",69576,544,0.78,15506,22.29,10629,15.28,12222,17.57,3085,4.43,8220,11.81,16866,24.24,3048,4.38,563.6
77,E07000037,"""High Peak""",2020,"""East Midlands""",74416,549,0.74,15520,20.86,9771,13.13,11931,16.03,2943,3.95,9779,13.14,21884,29.41,2588,3.48,485.7
161,E07000132,"""Hinckley and Bosworth""",2020,"""East Midlands""",86475,660,0.76,21089,24.39,12342,14.27,13895,16.07,4144,4.79,10733,12.41,20803,24.06,3469,4.01,527
198,E07000175,"""Newark and Sherwood""",2020,"""East Midlands""",93957,707,0.75,23550,25.06,13423,14.29,15088,16.06,3795,4.04,11169,11.89,22698,24.16,4234,4.51,555.4
78,E07000038,"""North East Derbyshire""",2020,"""East Midlands""",82699,571,0.69,22277,26.94,11752,14.21,13731,16.6,3632,4.39,9838,11.9,18340,22.18,3129,3.78,491.2
168,E07000139,"""North Kesteven""",2020,"""East Midlands""",88700,655,0.74,19289,21.75,12232,13.79,15306,17.26,3885,4.38,11685,13.17,22559,25.43,3744,4.22,679.5
163,E07000134,"""North West Leicestershire""",2020,"""East Midlands""",75791,620,0.82,19691,25.98,9988,13.18,11639,15.36,3426,4.52,9411,12.42,18402,24.28,3234,4.27,540.7
164,E07000135,"""Oadby and Wigston""",2020,"""East Midlands""",46359,318,0.69,10461,22.57,6144,13.25,7008,15.12,1976,4.26,6796,14.66,11476,24.75,2498,5.39,498.7
79,E07000039,"""South Derbyshire""",2020,"""East Midlands""",75910,646,0.85,16707,22.01,10674,14.06,12617,16.62,3663,4.83,9738,12.83,19701,25.95,2810,3.7,691.4
169,E07000140,"""South Holland""",2020,"""East Midlands""",73354,533,0.73,22628,30.85,11195,15.26,12070,16.45,2710,3.69,7354,10.03,11586,15.79,5811,7.92,473.6
170,E07000141,"""South Kesteven""",2020,"""East Midlands""",109085,778,0.71,23608,21.64,15098,13.84,18733,17.17,5007,4.59,13474,12.35,27974,25.64,5191,4.76,550.9
184,E07000155,"""South Northamptonshire""",2020,"""East Midlands""",68624,539,0.79,11955,17.42,9609,14,11442,16.67,3058,4.46,8559,12.47,21308,31.05,2693,3.92,539.7
171,E07000142,"""West Lindsey""",2020,"""East Midlands""",73753,519,0.7,16963,23,10217,13.85,12217,16.56,3796,5.15,8796,11.93,18642,25.28,3122,4.23,520.4
193,E07000170,Ashfield,2020,"""East Midlands""",96698,761,0.79,30345,31.38,15846,16.39,15901,16.44,4174,4.32,11626,12.02,14595,15.09,4211,4.35,500.1
194,E07000171,Bassetlaw,2020,"""East Midlands""",92702,686,0.74,26393,28.47,13513,14.58,15245,16.45,3847,4.15,10453,11.28,18761,20.24,4490,4.84,562.5
158,E07000129,Blaby,2020,"""East Midlands""",76334,595,0.78,16964,22.22,11097,14.54,12257,16.06,4360,5.71,9378,12.29,18988,24.87,3290,4.31,531.8
73,E07000033,Bolsover,2020,"""East Midlands""",62192,485,0.78,20455,32.89,9520,15.31,10195,16.39,2308,3.71,7064,11.36,9853,15.84,2797,4.5,430.6
165,E07000136,Boston,2020,"""East Midlands""",53275,419,0.79,17421,32.7,7705,14.46,8126,15.25,1745,3.28,4954,9.3,8060,15.13,5264,9.88,489.1
195,E07000172,Broxtowe,2020,"""East Midlands""",90938,693,0.76,21031,23.13,11721,12.89,13547,14.9,4079,4.49,11046,12.15,25678,28.24,3836,4.22,648.7
159,E07000130,Charnwood,2020,"""East Midlands""",137878,1200,0.87,28265,20.5,16740,12.14,19685,14.28,6586,4.78,23470,17.02,36916,26.77,6216,4.51,522
74,E07000034,Chesterfield,2020,"""East Midlands""",85595,621,0.73,23618,27.59,12252,14.31,14567,17.02,3441,4.02,10342,12.08,17994,21.02,3381,3.95,603.8
179,E07000150,Corby,2020,"""East Midlands""",48637,446,0.92,13439,27.63,8405,17.28,8330,17.13,2005,4.12,5393,11.09,7254,14.91,3811,7.84,700.2
180,E07000151,Daventry,2020,"""East Midlands""",63031,509,0.81,11918,18.91,9337,14.81,10742,17.04,2762,4.38,7416,11.77,18158,28.81,2698,4.28,630.3
15,E06000015,Derby,2020,"""East Midlands""",198076,1556,0.79,47731,24.1,26294,13.27,28681,14.48,9793,4.94,25838,13.04,47955,24.21,11784,5.95,584.6
76,E07000036,Erewash,2020,"""East Midlands""",91948,678,0.74,23808,25.89,14091,15.32,15197,16.53,4851,5.28,11350,12.34,19015,20.68,3636,3.95,600.8
196,E07000173,Gedling,2020,"""East Midlands""",93186,689,0.74,21980,23.59,12775,13.71,14737,15.81,4240,4.55,11999,12.88,23601,25.33,3854,4.14,505.6
160,E07000131,Harborough,2020,"""East Midlands""",69034,535,0.77,12461,18.05,9158,13.27,11275,16.33,3165,4.58,8340,12.08,21982,31.84,2653,3.84,641.5
182,E07000153,Kettering,2020,"""East Midlands""",74809,601,0.8,17079,22.83,11565,15.46,12720,17,3244,4.34,8814,11.78,17406,23.27,3981,5.32,563.6
16,E06000016,Leicester,2020,"""East Midlands""",260560,2353,0.9,74409,28.56,33751,12.95,32781,12.58,5309,2.04,33888,13.01,55223,21.19,25199,9.67,569
167,E07000138,Lincoln,2020,"""East Midlands""",78190,664,0.85,17134,21.91,10349,13.24,12587,16.1,2899,3.71,14395,18.41,16644,21.29,4182,5.35,478.5
197,E07000174,Mansfield,2020,"""East Midlands""",85448,654,0.77,25944,30.36,13414,15.7,14087,16.49,3143,3.68,10376,12.14,13978,16.36,4506,5.27,462.5
