objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageautistic
72,E07000032,"""Amber Valley""",2020,"""East Midlands""",100841,746,0.74%
,E07000004,"""Aylesbury Vale""",2020,"""South East""",138567,783,0.57%
295,E09000002,"""Barking and Dagenham""",2020,London,137613,"1,307",0.95%
67,E07000027,"""Barrow-in-Furness""",2020,"""North West""",56796,390,0.69%
117,E07000084,"""Basingstoke and Deane""",2020,"""South East""",133947,"1,055",0.79%
22,E06000022,"""Bath and North East Somerset""",2020,"""South West""",146439,"1,226",0.84%
8,E06000008,"""Blackburn with Darwen""",2020,"""North West""",113122,899,0.79%
36,E06000036,"""Bracknell Forest""",2020,"""South East""",89743,755,0.84%
43,E06000043,"""Brighton and Hove""",2020,"""South East""",229024,"2,070",0.90%
23,E06000023,"""Bristol, City of""",2020,"""South West""",349653,"3,194",0.91%
210,E07000192,"""Cannock Chase""",2020,"""West Midlands""",79027,616,0.78%
102,E07000069,"""Castle Point""",2020,"""East of England""",73142,495,0.68%
55,E06000056,"""Central Bedfordshire""",2020,"""East of England""",204602,"1,716",0.84%
48,E06000049,"""Cheshire East""",2020,"""North East""",304374,"2,145",0.70%
49,E06000050,"""Cheshire West and Chester""",2020,"""North East""",271473,"1,963",0.72%
294,E09000001,"""City of London""",2020,London,6755,66,0.98%
47,E06000047,"""County Durham""",2020,"""North East""",425258,"3,149",0.74%
75,E07000035,"""Derbyshire Dales""",2020,"""East Midlands""",59299,400,0.67%
62,E07000009,"""East Cambridgeshire""",2020,"""East of England""",67481,509,0.75%
80,E07000040,"""East Devon""",2020,"""South West""",112002,752,0.67%
89,E07000049,"""East Dorset""",2020,"""South West""",73557,396,0.54%
118,E07000085,"""East Hampshire""",2020,"""South East""",94019,666,0.71%
256,E07000242,"""East Hertfordshire""",2020,"""East of England""",110139,875,0.79%
166,E07000137,"""East Lindsey""",2020,"""East Midlands""",115418,733,0.64%
181,E07000152,"""East Northamptonshire""",2020,"""East Midlands""",69576,544,0.78%
11,E06000011,"""East Riding of Yorkshire""",2020,"""Yorkshire and The Humber""",278333,"1,873",0.67%
211,E07000193,"""East Staffordshire""",2020,"""West Midlands""",91821,719,0.78%
105,E07000072,"""Epping Forest""",2020,"""East of England""",101708,760,0.75%
226,E07000208,"""Epsom and Ewell""",2020,"""South East""",60371,460,0.76%
113,E07000080,"""Forest of Dean""",2020,"""South West""",88760,491,0.55%
174,E07000145,"""Great Yarmouth""",2020,"""East of England""",48684,554,1.14%
306,E09000013,"""Hammersmith and Fulham""",2020,London,67947,"1,309",1.93%
19,E06000019,"""Herefordshire, County of""",2020,"""West Midlands""",79748,"1,102",1.38%
77,E07000037,"""High Peak""",2020,"""East Midlands""",152863,549,0.36%
161,E07000132,"""Hinckley and Bosworth""",2020,"""East Midlands""",151962,660,0.43%
46,E06000046,"""Isle of Wight""",2020,"""South East""",86475,764,0.88%
52,E06000053,"""Isles of Scilly""",2020,"""South West""",115589,14,0.01%
313,E09000020,"""Kensington and Chelsea""",2020,London,1857,"1,041",56.06%
175,E07000146,"""King's Lynn and West Norfolk""",2020,"""East of England""",134267,823,0.61%
10,E06000010,"""Kingston upon Hull, City of""",2020,"""Yorkshire and The Humber""",122639,"1,669",1.36%
314,E09000021,"""Kingston upon Thames""",2020,London,208040,"1,138",0.55%
249,E07000235,"""Malvern Hills""",2020,"""West Midlands""",129790,419,0.32%
82,E07000042,"""Mid Devon""",2020,"""South West""",63200,451,0.71%
221,E07000203,"""Mid Suffolk""",2020,"""East of England""",78907,584,0.74%
246,E07000228,"""Mid Sussex""",2020,"""South East""",112755,852,0.76%
42,E06000042,"""Milton Keynes""",2020,"""South East""",193429,"1,629",0.84%
