objectid,lau115cd,lau115nm,region,year,predictedprevalence,% population autistic,population education,No qualifications,% no qualifications,Level 1 qualifications,% level 1 qualification,Level 2 qualifications,% level 2 qualifications,Apprenticeship,% Apprenticeship qualifications,Level 3 qualifications,% level 3 qualifications,Level 4 qualifications and above,% level 4 qualification,Other qualifications,% other qualifications,weekly gross pay mean
72,E07000032,"""Amber Valley""","""East Midlands""",2035,755,0.75%,100841,27220,26.99%,13986,13.87%,15627,15.50%,4683,4.64%,12086,11.99%,23346,23.15%,3893,3.86%,540.7
,E07000004,"""Aylesbury Vale""","""South East""",2035,792,0.57%,138567,12773,21.54%,7088,11.95%,8870,14.96%,1992,3.36%,6572,11.08%,19816,33.42%,2188,3.69%,569.1
295,E09000002,"""Barking and Dagenham""",London,2035,"1,427",1.04%,137613,37648,32.62%,16355,14.17%,18058,15.65%,4922,4.26%,12071,10.46%,20849,18.06%,5515,4.78%,431
67,E07000027,"""Barrow-in-Furness""","""North West""",2035,348,0.61%,56796,15506,22.29%,10629,15.28%,12222,17.57%,3085,4.43%,8220,11.81%,16866,24.24%,3048,4.38%,563.6
117,E07000084,"""Basingstoke and Deane""","""South East""",2035,"1,016",0.76%,133947,34845,22.93%,19396,12.76%,24322,16.01%,5410,3.56%,18235,12.00%,41779,27.49%,7975,5.25%,527
22,E06000022,"""Bath and North East Somerset""","""South West""",2035,"1,342",0.92%,146439,21089,24.39%,12342,14.27%,13895,16.07%,4144,4.79%,10733,12.41%,20803,24.06%,3469,4.01%,554.1
8,E06000008,"""Blackburn with Darwen""","""North West""",2035,882,0.78%,113122,54885,23.64%,26240,11.30%,29055,12.51%,7928,3.41%,39659,17.08%,63073,27.16%,11363,4.89%,536.4
36,E06000036,"""Bracknell Forest""","""South East""",2035,755,0.84%,89743,38209,29.53%,20816,16.09%,23003,17.78%,6002,4.64%,13998,10.82%,20970,16.21%,6379,4.93%,512.1
43,E06000043,"""Brighton and Hove""","""South East""",2035,"2,148",0.94%,229024,35633,26.18%,21498,15.80%,22796,16.75%,6636,4.88%,15917,11.69%,26583,19.53%,7042,5.17%,561.8
23,E06000023,"""Bristol, City of""","""South West""",2035,"3,530",1.01%,349653,28384,28.04%,15829,15.63%,16561,16.36%,4825,4.77%,11760,11.62%,18801,18.57%,5084,5.02%,572.2
210,E07000192,"""Cannock Chase""","""West Midlands""",2035,639,0.81%,79027,31550,28.42%,14947,13.46%,18225,16.42%,6366,5.73%,14572,13.13%,21013,18.93%,4338,3.91%,623.5
102,E07000069,"""Castle Point""","""East of England""",2035,493,0.67%,73142,12047,17.24%,8433,12.07%,11361,16.26%,3044,4.36%,8456,12.10%,23946,34.27%,2581,3.69%,634.9
55,E06000056,"""Central Bedfordshire""","""East of England""",2035,"1,808",0.88%,204602,16583,18.89%,10532,12.00%,13516,15.40%,4049,4.61%,10377,11.82%,29277,33.35%,3443,3.92%,550.9
48,E06000049,"""Cheshire East""","""North East""",2035,"2,109",0.69%,304374,22953,22.57%,13799,13.57%,17362,17.07%,4305,4.23%,11687,11.49%,27501,27.04%,4110,4.04%,520.3
49,E06000050,"""Cheshire West and Chester""","""North East""",2035,"1,993",0.73%,271473,18136,20.34%,12038,13.50%,14825,16.63%,5165,5.79%,12242,13.73%,23537,26.40%,3220,3.61%,584.6
294,E09000001,"""City of London""",London,2035,63,0.93%,6755,7403,24.81%,4066,13.62%,4989,16.72%,1195,4.00%,3189,10.69%,7415,24.85%,1587,5.32%,544.4
47,E06000047,"""County Durham""","""North East""",2035,"3,118",0.73%,425258,16367,22.79%,10385,14.46%,12560,17.49%,2818,3.92%,8337,11.61%,18539,25.81%,2815,3.92%,511.1
75,E07000035,"""Derbyshire Dales""","""East Midlands""",2035,376,0.63%,59299,42366,22.97%,31049,16.84%,32694,17.73%,6951,3.77%,21334,11.57%,40146,21.77%,9891,5.36%,512.7
