objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
48,E06000049,"""Cheshire East""",2020,"""North East""",304374,2145,0.7,59806,19.65,36823,12.1,48576,15.96,12395,4.07,37854,12.44,97248,31.95,11672,3.83,625.8
48,E06000049,"""Cheshire East""",2025,"""North East""",304374,"2,144",0.7,59806,19.65,36823,12.1,48576,15.96,12395,4.07,37854,12.44,97248,31.95,11672,3.83,625.8
48,E06000049,"""Cheshire East""",2030,"""North East""",304374,"2,122",0.7,59806,19.65,36823,12.1,48576,15.96,12395,4.07,37854,12.44,97248,31.95,11672,3.83,625.8
48,E06000049,"""Cheshire East""",2035,"""North East""",304374,"2,109",0.69,59806,19.65,36823,12.1,48576,15.96,12395,4.07,37854,12.44,97248,31.95,11672,3.83,625.8
48,E06000049,"""Cheshire East""",2040,"""North East""",304374,"2,112",0.69,59806,19.65,36823,12.1,48576,15.96,12395,4.07,37854,12.44,97248,31.95,11672,3.83,625.8
49,E06000050,"""Cheshire West and Chester""",2020,"""North East""",271473,1963,0.72,56940,20.97,36010,13.26,42655,15.71,10727,3.95,35042,12.91,79712,29.36,10387,3.83,592.5
49,E06000050,"""Cheshire West and Chester""",2025,"""North East""",271473,"1,982",0.73,56940,20.97,36010,13.26,42655,15.71,10727,3.95,35042,12.91,79712,29.36,10387,3.83,592.5
49,E06000050,"""Cheshire West and Chester""",2030,"""North East""",271473,"1,982",0.73,56940,20.97,36010,13.26,42655,15.71,10727,3.95,35042,12.91,79712,29.36,10387,3.83,592.5
49,E06000050,"""Cheshire West and Chester""",2035,"""North East""",271473,"1,993",0.73,56940,20.97,36010,13.26,42655,15.71,10727,3.95,35042,12.91,79712,29.36,10387,3.83,592.5
49,E06000050,"""Cheshire West and Chester""",2040,"""North East""",271473,"1,999",0.74,56940,20.97,36010,13.26,42655,15.71,10727,3.95,35042,12.91,79712,29.36,10387,3.83,592.5
47,E06000047,"""County Durham""",2020,"""North East""",425258,3149,0.74,116948,27.5,57032,13.41,67905,15.97,17694,4.16,57957,13.63,91249,21.46,16473,3.87,518
47,E06000047,"""County Durham""",2025,"""North East""",425258,"3,148",0.74,116948,27.5,57032,13.41,67905,15.97,17694,4.16,57957,13.63,91249,21.46,16473,3.87,518
47,E06000047,"""County Durham""",2030,"""North East""",425258,"3,139",0.74,116948,27.5,57032,13.41,67905,15.97,17694,4.16,57957,13.63,91249,21.46,16473,3.87,518
47,E06000047,"""County Durham""",2035,"""North East""",425258,"3,118",0.73,116948,27.5,57032,13.41,67905,15.97,17694,4.16,57957,13.63,91249,21.46,16473,3.87,518
47,E06000047,"""County Durham""",2040,"""North East""",425258,"3,117",0.73,116948,27.5,57032,13.41,67905,15.97,17694,4.16,57957,13.63,91249,21.46,16473,3.87,518
277,E08000021,"""Newcastle upon Tyne""",2020,"""North East""",232203,2039,0.88,54885,23.64,26240,11.3,29055,12.51,7928,3.41,39659,17.08,63073,27.16,11363,4.89,536.4
277,E08000021,"""Newcastle upon Tyne""",2025,"""North East""",232203,"2,024",0.87,54885,23.64,26240,11.3,29055,12.51,7928,3.41,39659,17.08,63073,27.16,11363,4.89,536.4
277,E08000021,"""Newcastle upon Tyne""",2030,"""North East""",232203,"2,049",0.88,54885,23.64,26240,11.3,29055,12.51,7928,3.41,39659,17.08,63073,27.16,11363,4.89,536.4
277,E08000021,"""Newcastle upon Tyne""",2035,"""North East""",232203,"2,073",0.89,54885,23.64,26240,11.3,29055,12.51,7928,3.41,39659,17.08,63073,27.16,11363,4.89,536.4
213,E08000021,"""Newcastle upon Tyne""",2040,"""North East""",232203,"2,069",0.89,54885,23.64,26240,11.3,29055,12.51,7928,3.41,39659,17.08,63073,27.16,11363,4.89,536.4
278,E08000022,"""North Tyneside""",2020,"""North East""",165088,1211,0.73,39157,23.72,23183,14.04,26536,16.07,8685,5.26,19623,11.89,41734,25.28,6170,3.74,608.8
278,E08000022,"""North Tyneside""",2025,"""North East""",165088,"1,224",0.74,39157,23.72,23183,14.04,26536,16.07,8685,5.26,19623,11.89,41734,25.28,6170,3.74,608.8
278,E08000022,"""North Tyneside""",2030,"""North East""",165088,"1,226",0.74,39157,23.72,23183,14.04,26536,16.07,8685,5.26,19623,11.89,41734,25.28,6170,3.74,608.8
278,E08000022,"""North Tyneside""",2035,"""North East""",165088,"1,233",0.75,39157,23.72,23183,14.04,26536,16.07,8685,5.26,19623,11.89,41734,25.28,6170,3.74,608.8
