objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
67,E07000027,"""Barrow-in-Furness""",2020,"""North West""",56796,390,0.69,14422,25.39,7710,13.57,8912,15.69,5229,9.21,7791,13.72,10785,18.99,1947,3.43,549.5
67,E07000027,"""Barrow-in-Furness""",2025,"""North West""",56796,376,0.66,14422,25.39,7710,13.57,8912,15.69,5229,9.21,7791,13.72,10785,18.99,1947,3.43,549.5
67,E07000027,"""Barrow-in-Furness""",2030,"""North West""",56796,360,0.63,14422,25.39,7710,13.57,8912,15.69,5229,9.21,7791,13.72,10785,18.99,1947,3.43,549.5
67,E07000027,"""Barrow-in-Furness""",2035,"""North West""",56796,348,0.61,14422,25.39,7710,13.57,8912,15.69,5229,9.21,7791,13.72,10785,18.99,1947,3.43,549.5
67,E07000027,"""Barrow-in-Furness""",2040,"""North West""",56796,345,0.61,14422,25.39,7710,13.57,8912,15.69,5229,9.21,7791,13.72,10785,18.99,1947,3.43,549.5
8,E06000008,"""Blackburn with Darwen""",2020,"""North West""",113122,899,0.79,32485,28.72,16211,14.33,17221,15.22,4428,3.91,12923,11.42,22416,19.82,7438,6.58,445.9
8,E06000008,"""Blackburn with Darwen""",2025,"""North West""",113122,894,0.79,32485,28.72,16211,14.33,17221,15.22,4428,3.91,12923,11.42,22416,19.82,7438,6.58,445.9
8,E06000008,"""Blackburn with Darwen""",2030,"""North West""",113122,888,0.78,32485,28.72,16211,14.33,17221,15.22,4428,3.91,12923,11.42,22416,19.82,7438,6.58,445.9
8,E06000008,"""Blackburn with Darwen""",2035,"""North West""",113122,882,0.78,32485,28.72,16211,14.33,17221,15.22,4428,3.91,12923,11.42,22416,19.82,7438,6.58,445.9
8,E06000008,"""Blackburn with Darwen""",2040,"""North West""",113122,879,0.78,32485,28.72,16211,14.33,17221,15.22,4428,3.91,12923,11.42,22416,19.82,7438,6.58,445.9
153,E07000124,"""Ribble Valley""",2020,"""North West""",46552,341,0.73,8533,18.33,5175,11.12,7126,15.31,2339,5.02,5841,12.55,15817,33.98,1721,3.7,663.3
153,E07000124,"""Ribble Valley""",2025,"""North West""",46552,343,0.74,8533,18.33,5175,11.12,7126,15.31,2339,5.02,5841,12.55,15817,33.98,1721,3.7,663.3
153,E07000124,"""Ribble Valley""",2030,"""North West""",46552,341,0.73,8533,18.33,5175,11.12,7126,15.31,2339,5.02,5841,12.55,15817,33.98,1721,3.7,663.3
153,E07000124,"""Ribble Valley""",2035,"""North West""",46552,338,0.73,8533,18.33,5175,11.12,7126,15.31,2339,5.02,5841,12.55,15817,33.98,1721,3.7,663.3
320,E07000124,"""Ribble Valley""",2040,"""North West""",46552,337,0.72,8533,18.33,5175,11.12,7126,15.31,2339,5.02,5841,12.55,15817,33.98,1721,3.7,663.3
71,E07000031,"""South Lakeland""",2020,"""North West""",87777,566,0.64,16583,18.89,10532,12,13516,15.4,4049,4.61,10377,11.82,29277,33.35,3443,3.92,520.3
71,E07000031,"""South Lakeland""",2025,"""North West""",87777,558,0.64,16583,18.89,10532,12,13516,15.4,4049,4.61,10377,11.82,29277,33.35,3443,3.92,520.3
71,E07000031,"""South Lakeland""",2030,"""North West""",87777,550,0.63,16583,18.89,10532,12,13516,15.4,4049,4.61,10377,11.82,29277,33.35,3443,3.92,520.3
71,E07000031,"""South Lakeland""",2035,"""North West""",87777,540,0.62,16583,18.89,10532,12,13516,15.4,4049,4.61,10377,11.82,29277,33.35,3443,3.92,520.3
178,E07000031,"""South Lakeland""",2040,"""North West""",87777,539,0.61,16583,18.89,10532,12,13516,15.4,4049,4.61,10377,11.82,29277,33.35,3443,3.92,520.3
155,E07000126,"""South Ribble""",2020,"""North West""",89163,634,0.71,18136,20.34,12038,13.5,14825,16.63,5165,5.79,12242,13.73,23537,26.4,3220,3.61,696.1
155,E07000126,"""South Ribble""",2025,"""North West""",89163,627,0.7,18136,20.34,12038,13.5,14825,16.63,5165,5.79,12242,13.73,23537,26.4,3220,3.61,696.1
155,E07000126,"""South Ribble""",2030,"""North West""",89163,618,0.69,18136,20.34,12038,13.5,14825,16.63,5165,5.79,12242,13.73,23537,26.4,3220,3.61,696.1
155,E07000126,"""South Ribble""",2035,"""North West""",89163,610,0.68,18136,20.34,12038,13.5,14825,16.63,5165,5.79,12242,13.73,23537,26.4,3220,3.61,696.1
207,E07000126,"""South Ribble""",2040,"""North West""",89163,606,0.68,18136,20.34,12038,13.5,14825,16.63,5165,5.79,12242,13.73,23537,26.4,3220,3.61,696.1
270,E08000013,"""St. Helens""",2020,"""North West""",143372,1063,0.74,39950,27.86,20522,14.31,23930,16.69,6251,4.36,17408,12.14,29924,20.87,5387,3.76,537.1
270,E08000013,"""St. Helens""",2025,"""North West""",143372,"1,067",0.74,39950,27.86,20522,14.31,23930,16.69,6251,4.36,17408,12.14,29924,20.87,5387,3.76,537.1
270,E08000013,"""St. Helens""",2030,"""North West""",143372,"1,067",0.74,39950,27.86,20522,14.31,23930,16.69,6251,4.36,17408,12.14,29924,20.87,5387,3.76,537.1
270,E08000013,"""St. Helens""",2035,"""North West""",143372,"1,077",0.75,39950,27.86,20522,14.31,23930,16.69,6251,4.36,17408,12.14,29924,20.87,5387,3.76,537.1
216,E08000013,"""St. Helens""",2040,"""North West""",143372,"1,087",0.76,39950,27.86,20522,14.31,23930,16.69,6251,4.36,17408,12.14,29924,20.87,5387,3.76,537.1
156,E07000127,"""West Lancashire""",2020,"""North West""",90712,650,0.72,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
156,E07000127,"""West Lancashire""",2025,"""North West""",90712,635,0.7,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
156,E07000127,"""West Lancashire""",2030,"""North West""",90712,627,0.69,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
156,E07000127,"""West Lancashire""",2035,"""North West""",90712,619,0.68,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
171,E07000127,"""West Lancashire""",2040,"""North West""",90712,614,0.68,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
66,E07000026,Allerdale,2020,"""North West""",80155,551,0.69,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2025,"""North West""",80155,537,0.67,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2030,"""North West""",80155,521,0.65,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2035,"""North West""",80155,507,0.63,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
242,E07000026,Allerdale,2040,"""North West""",80155,503,0.63,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
9,E06000009,Blackpool,2020,"""North West""",116699,821,0.7,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
9,E06000009,Blackpool,2025,"""North West""",116699,798,0.68,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
9,E06000009,Blackpool,2030,"""North West""",116699,783,0.67,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
