objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
,E07000004,"""Aylesbury Vale""",2020,"""South East""",138567,783,0.57,24059,17.36,19099,13.78,22857,16.5,5014,3.62,16894,12.19,44291,31.96,6353,4.58,683.3
,E07000004,"""Aylesbury Vale""",2025,"""South East""",138567,787,0.57,24059,17.36,19099,13.78,22857,16.5,5014,3.62,16894,12.19,44291,31.96,6353,4.58,683.3
,E07000004,"""Aylesbury Vale""",2030,"""South East""",138567,787,0.57,24059,17.36,19099,13.78,22857,16.5,5014,3.62,16894,12.19,44291,31.96,6353,4.58,683.3
,E07000004,"""Aylesbury Vale""",2035,"""South East""",138567,792,0.57,24059,17.36,19099,13.78,22857,16.5,5014,3.62,16894,12.19,44291,31.96,6353,4.58,683.3
,E07000004,"""Aylesbury Vale""",2040,"""South East""",138567,792,0.57,24059,17.36,19099,13.78,22857,16.5,5014,3.62,16894,12.19,44291,31.96,6353,4.58,683.3
117,E07000084,"""Basingstoke and Deane""",2020,"""South East""",133947,1055,0.79,23226,17.34,19647,14.67,21918,16.36,5152,3.85,16902,12.62,40793,30.45,6309,4.71,676.2
117,E07000084,"""Basingstoke and Deane""",2025,"""South East""",133947,"1,042",0.78,23226,17.34,19647,14.67,21918,16.36,5152,3.85,16902,12.62,40793,30.45,6309,4.71,676.2
117,E07000084,"""Basingstoke and Deane""",2030,"""South East""",133947,"1,030",0.77,23226,17.34,19647,14.67,21918,16.36,5152,3.85,16902,12.62,40793,30.45,6309,4.71,676.2
117,E07000084,"""Basingstoke and Deane""",2035,"""South East""",133947,"1,016",0.76,23226,17.34,19647,14.67,21918,16.36,5152,3.85,16902,12.62,40793,30.45,6309,4.71,676.2
117,E07000084,"""Basingstoke and Deane""",2040,"""South East""",133947,"1,004",0.75,23226,17.34,19647,14.67,21918,16.36,5152,3.85,16902,12.62,40793,30.45,6309,4.71,676.2
36,E06000036,"""Bracknell Forest""",2020,"""South East""",89743,755,0.84,14639,16.31,13755,15.33,15191,16.93,3032,3.38,11389,12.69,27197,30.31,4540,5.06,663.8
36,E06000036,"""Bracknell Forest""",2025,"""South East""",89743,757,0.84,14639,16.31,13755,15.33,15191,16.93,3032,3.38,11389,12.69,27197,30.31,4540,5.06,663.8
36,E06000036,"""Bracknell Forest""",2030,"""South East""",89743,759,0.85,14639,16.31,13755,15.33,15191,16.93,3032,3.38,11389,12.69,27197,30.31,4540,5.06,663.8
36,E06000036,"""Bracknell Forest""",2035,"""South East""",89743,755,0.84,14639,16.31,13755,15.33,15191,16.93,3032,3.38,11389,12.69,27197,30.31,4540,5.06,663.8
36,E06000036,"""Bracknell Forest""",2040,"""South East""",89743,751,0.84,14639,16.31,13755,15.33,15191,16.93,3032,3.38,11389,12.69,27197,30.31,4540,5.06,663.8
43,E06000043,"""Brighton and Hove""",2020,"""South East""",229024,2070,0.9,36775,16.06,25190,11,28769,12.56,4854,2.12,36599,15.98,84423,36.86,12414,5.42,575.4
43,E06000043,"""Brighton and Hove""",2025,"""South East""",229024,"2,105",0.92,36775,16.06,25190,11,28769,12.56,4854,2.12,36599,15.98,84423,36.86,12414,5.42,575.4
43,E06000043,"""Brighton and Hove""",2030,"""South East""",229024,"2,131",0.93,36775,16.06,25190,11,28769,12.56,4854,2.12,36599,15.98,84423,36.86,12414,5.42,575.4
43,E06000043,"""Brighton and Hove""",2035,"""South East""",229024,"2,148",0.94,36775,16.06,25190,11,28769,12.56,4854,2.12,36599,15.98,84423,36.86,12414,5.42,575.4
43,E06000043,"""Brighton and Hove""",2040,"""South East""",229024,"2,146",0.94,36775,16.06,25190,11,28769,12.56,4854,2.12,36599,15.98,84423,36.86,12414,5.42,575.4
118,E07000085,"""East Hampshire""",2020,"""South East""",94019,666,0.71,15857,16.87,11719,12.46,15640,16.63,3338,3.55,11986,12.75,31844,33.87,3635,3.87,646.5
118,E07000085,"""East Hampshire""",2025,"""South East""",94019,661,0.7,15857,16.87,11719,12.46,15640,16.63,3338,3.55,11986,12.75,31844,33.87,3635,3.87,646.5
118,E07000085,"""East Hampshire""",2030,"""South East""",94019,656,0.7,15857,16.87,11719,12.46,15640,16.63,3338,3.55,11986,12.75,31844,33.87,3635,3.87,646.5
118,E07000085,"""East Hampshire""",2035,"""South East""",94019,651,0.69,15857,16.87,11719,12.46,15640,16.63,3338,3.55,11986,12.75,31844,33.87,3635,3.87,646.5
118,E07000085,"""East Hampshire""",2040,"""South East""",94019,649,0.69,15857,16.87,11719,12.46,15640,16.63,3338,3.55,11986,12.75,31844,33.87,3635,3.87,646.5
226,E07000208,"""Epsom and Ewell""",2020,"""South East""",60371,460,0.76,9559,15.83,7395,12.25,9504,15.74,1723,2.85,7278,12.06,21720,35.98,3192,5.29,645.3
226,E07000208,"""Epsom and Ewell""",2025,"""South East""",60371,460,0.76,9559,15.83,7395,12.25,9504,15.74,1723,2.85,7278,12.06,21720,35.98,3192,5.29,645.3
226,E07000208,"""Epsom and Ewell""",2030,"""South East""",60371,461,0.76,9559,15.83,7395,12.25,9504,15.74,1723,2.85,7278,12.06,21720,35.98,3192,5.29,645.3
226,E07000208,"""Epsom and Ewell""",2035,"""South East""",60371,465,0.77,9559,15.83,7395,12.25,9504,15.74,1723,2.85,7278,12.06,21720,35.98,3192,5.29,645.3
226,E07000208,"""Epsom and Ewell""",2040,"""South East""",60371,460,0.76,9559,15.83,7395,12.25,9504,15.74,1723,2.85,7278,12.06,21720,35.98,3192,5.29,645.3
46,E06000046,"""Isle of Wight""",2020,"""South East""",115589,764,0.66,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
46,E06000046,"""Isle of Wight""",2025,"""South East""",115589,761,0.66,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
46,E06000046,"""Isle of Wight""",2030,"""South East""",115589,747,0.65,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
46,E06000046,"""Isle of Wight""",2035,"""South East""",115589,734,0.64,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
52,E06000046,"""Isle of Wight""",2040,"""South East""",115589,727,0.63,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
246,E07000228,"""Mid Sussex""",2020,"""South East""",112755,852,0.76,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2025,"""South East""",112755,861,0.76,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2030,"""South East""",112755,865,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2035,"""South East""",112755,863,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
42,E07000228,"""Mid Sussex""",2040,"""South East""",112755,865,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
42,E06000042,"""Milton Keynes""",2020,"""South East""",193429,1629,0.84,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2025,"""South East""",193429,"1,630",0.84,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2030,"""South East""",193429,"1,648",0.85,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2035,"""South East""",193429,"1,654",0.86,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
228,E06000042,"""Milton Keynes""",2040,"""South East""",193429,"1,647",0.85,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
