objectid,lau115cd,lau115nm,year,region,population,""" % no qualification""","""% level 1 qualification""",""" % level 2 qualification""",""" % apprenticeship""",""" % level 3 qualification",""" % level 4 and above""",""" % other qualifications"
72,E07000032,"""Amber Valley""",2020,"""East Midlands""",100841,26.99,13.87,15.5,4.64,11.99,23.15,3.86
,E07000004,"""Aylesbury Vale""",2020,"""South East""",138567,17.36,13.78,16.5,3.62,12.19,31.96,4.58
295,E09000002,"""Barking and Dagenham""",2020,London,137613,27.9,15.19,14.98,2.1,9.27,20.87,9.69
67,E07000027,"""Barrow-in-Furness""",2020,"""North West""",56796,25.39,13.57,15.69,9.21,13.72,18.99,3.43
117,E07000084,"""Basingstoke and Deane""",2020,"""South East""",133947,17.34,14.67,16.36,3.85,12.62,30.45,4.71
22,E06000022,"""Bath and North East Somerset""",2020,"""South West""",146439,17.17,11.05,14.22,3.74,16.45,33.4,3.97
8,E06000008,"""Blackburn with Darwen""",2020,"""North West""",113122,28.72,14.33,15.22,3.91,11.42,19.82,6.58
36,E06000036,"""Bracknell Forest""",2020,"""South East""",89743,16.31,15.33,16.93,3.38,12.69,30.31,5.06
43,E06000043,"""Brighton and Hove""",2020,"""South East""",229024,16.06,11,12.56,2.12,15.98,36.86,5.42
23,E06000023,"""Bristol, City of""",2020,"""South West""",349653,20.16,11.87,12.75,2.93,14.59,32.78,4.92
210,E07000192,"""Cannock Chase""",2020,"""West Midlands""",79027,28.19,16.3,17.76,3.62,12.68,17.22,4.23
102,E07000069,"""Castle Point""",2020,"""East of England""",73142,29.92,18.02,17.77,4.64,10.64,14.62,4.4
55,E06000056,"""Central Bedfordshire""",2020,"""East of England""",204602,19.38,14.95,16.97,4.7,12.64,27.27,4.09
48,E06000049,"""Cheshire East""",2020,"""North East""",304374,19.65,12.1,15.96,4.07,12.44,31.95,3.83
49,E06000050,"""Cheshire West and Chester""",2020,"""North East""",271473,20.97,13.26,15.71,3.95,12.91,29.36,3.83
294,E09000001,"""City of London""",2020,London,6755,6.72,4.31,6.59,0.7,7.17,68.36,6.16
47,E06000047,"""County Durham""",2020,"""North East""",425258,27.5,13.41,15.97,4.16,13.63,21.46,3.87
75,E07000035,"""Derbyshire Dales""",2020,"""East Midlands""",59299,21.54,11.95,14.96,3.36,11.08,33.42,3.69
62,E07000009,"""East Cambridgeshire""",2020,"""East of England""",67481,20.93,13.11,15.64,4.34,11.41,29.02,5.55
80,E07000040,"""East Devon""",2020,"""South West""",112002,21.07,13.08,16.97,4.13,11.35,29.08,4.32
89,E07000049,"""East Dorset""",2020,"""South West""",73557,21.52,13.45,16.38,5.28,11.56,27.68,4.12
118,E07000085,"""East Hampshire""",2020,"""South East""",94019,16.87,12.46,16.63,3.55,12.75,33.87,3.87
256,E07000242,"""East Hertfordshire""",2020,"""East of England""",110139,17.21,13.52,16.74,3.16,11.93,33.47,3.95
166,E07000137,"""East Lindsey""",2020,"""East Midlands""",115418,32.62,14.17,15.65,4.26,10.46,18.06,4.78
181,E07000152,"""East Northamptonshire""",2020,"""East Midlands""",69576,22.29,15.28,17.57,4.43,11.81,24.24,4.38
11,E06000011,"""East Riding of Yorkshire""",2020,"""Yorkshire and The Humber""",278333,23.37,13.02,16.21,5.05,12.1,25.87,4.39
211,E07000193,"""East Staffordshire""",2020,"""West Midlands""",91821,24.69,14.18,16.12,4.19,11.71,23.38,5.73
105,E07000072,"""Epping Forest""",2020,"""East of England""",101708,23.95,15.57,16.27,3.31,11.07,25.34,4.49
226,E07000208,"""Epsom and Ewell""",2020,"""South East""",60371,15.83,12.25,15.74,2.85,12.06,35.98,5.29
219,E07000201,"""Forest Heath""",2020,"""East of England""",48684,25.69,13.55,14.16,4.03,10.28,19.15,13.15
113,E07000080,"""Forest of Dean""",2020,"""South West""",67947,24.52,14.35,16.8,4.48,11.96,23.97,3.91
