objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
11,E06000011,"""East Riding of Yorkshire""",2020,"""Yorkshire and The Humber""",278333,1873,0.67,65035,23.37,36228,13.02,45111,16.21,14051,5.05,33672,12.1,72004,25.87,12232,4.39,534.6
11,E06000011,"""East Riding of Yorkshire""",2025,"""Yorkshire and The Humber""",278333,"1,848",0.66,65035,23.37,36228,13.02,45111,16.21,14051,5.05,33672,12.1,72004,25.87,12232,4.39,534.6
11,E06000011,"""East Riding of Yorkshire""",2030,"""Yorkshire and The Humber""",278333,"1,815",0.65,65035,23.37,36228,13.02,45111,16.21,14051,5.05,33672,12.1,72004,25.87,12232,4.39,534.6
11,E06000011,"""East Riding of Yorkshire""",2035,"""Yorkshire and The Humber""",278333,"1,781",0.64,65035,23.37,36228,13.02,45111,16.21,14051,5.05,33672,12.1,72004,25.87,12232,4.39,584.6
11,E06000011,"""East Riding of Yorkshire""",2040,"""Yorkshire and The Humber""",278333,"1,764",0.63,65035,23.37,36228,13.02,45111,16.21,14051,5.05,33672,12.1,72004,25.87,12232,4.39,534.6
10,E06000010,"""Kingston upon Hull, City of""",2020,"""Yorkshire and The Humber""",208040,1669,0.8,65851,31.65,30362,14.59,32099,15.43,8371,4.02,27284,13.11,31687,15.23,12386,5.95,536.9
10,E06000010,"""Kingston upon Hull, City of""",2025,"""Yorkshire and The Humber""",208040,"1,648",0.79,65851,31.65,30362,14.59,32099,15.43,8371,4.02,27284,13.11,31687,15.23,12386,5.95,536.9
10,E06000010,"""Kingston upon Hull, City of""",2030,"""Yorkshire and The Humber""",208040,"1,643",0.79,65851,31.65,30362,14.59,32099,15.43,8371,4.02,27284,13.11,31687,15.23,12386,5.95,536.9
10,E06000010,"""Kingston upon Hull, City of""",2035,"""Yorkshire and The Humber""",208040,"1,642",0.79,65851,31.65,30362,14.59,32099,15.43,8371,4.02,27284,13.11,31687,15.23,12386,5.95,537.1
314,E06000010,"""Kingston upon Hull, City of""",2040,"""Yorkshire and The Humber""",208040,"1,631",0.78,65851,31.65,30362,14.59,32099,15.43,8371,4.02,27284,13.11,31687,15.23,12386,5.95,536.9
12,E06000012,"""North East Lincolnshire""",2020,"""Yorkshire and The Humber""",129377,913,0.71,38209,29.53,20816,16.09,23003,17.78,6002,4.64,13998,10.82,20970,16.21,6379,4.93,512.1
12,E06000012,"""North East Lincolnshire""",2025,"""Yorkshire and The Humber""",129377,890,0.69,38209,29.53,20816,16.09,23003,17.78,6002,4.64,13998,10.82,20970,16.21,6379,4.93,512.1
12,E06000012,"""North East Lincolnshire""",2030,"""Yorkshire and The Humber""",129377,863,0.67,38209,29.53,20816,16.09,23003,17.78,6002,4.64,13998,10.82,20970,16.21,6379,4.93,512.1
12,E06000012,"""North East Lincolnshire""",2035,"""Yorkshire and The Humber""",129377,848,0.66,38209,29.53,20816,16.09,23003,17.78,6002,4.64,13998,10.82,20970,16.21,6379,4.93,920.5
131,E06000012,"""North East Lincolnshire""",2040,"""Yorkshire and The Humber""",129377,831,0.64,38209,29.53,20816,16.09,23003,17.78,6002,4.64,13998,10.82,20970,16.21,6379,4.93,512.1
13,E06000013,"""North Lincolnshire""",2020,"""Yorkshire and The Humber""",136105,1003,0.74,35633,26.18,21498,15.8,22796,16.75,6636,4.88,15917,11.69,26583,19.53,7042,5.17,561.8
13,E06000013,"""North Lincolnshire""",2025,"""Yorkshire and The Humber""",136105,994,0.73,35633,26.18,21498,15.8,22796,16.75,6636,4.88,15917,11.69,26583,19.53,7042,5.17,561.8
13,E06000013,"""North Lincolnshire""",2030,"""Yorkshire and The Humber""",136105,976,0.72,35633,26.18,21498,15.8,22796,16.75,6636,4.88,15917,11.69,26583,19.53,7042,5.17,561.8
13,E06000013,"""North Lincolnshire""",2035,"""Yorkshire and The Humber""",136105,960,0.71,35633,26.18,21498,15.8,22796,16.75,6636,4.88,15917,11.69,26583,19.53,7042,5.17,688.7
176,E06000013,"""North Lincolnshire""",2040,"""Yorkshire and The Humber""",136105,954,0.7,35633,26.18,21498,15.8,22796,16.75,6636,4.88,15917,11.69,26583,19.53,7042,5.17,561.8
273,E08000016,Barnsley,2020,"""Yorkshire and the Humber""",188335,1470,0.78,60890,32.33,26913,14.29,30550,16.22,7716,4.1,21342,11.33,32724,17.38,8200,4.35,705.1
273,E08000016,Barnsley,2025,"""Yorkshire and the Humber""",188335,"1,489",0.79,60890,32.33,26913,14.29,30550,16.22,7716,4.1,21342,11.33,32724,17.38,8200,4.35,705.1
